"ENTITY","CODE","YEAR","DEATHS_PER_100K","HIGHER_LVL_CAT","AGE_GROUP","ABS_DEATHS","TOTAL_ABS_DEATHS","DEATHS_PER_100K_BD"
"Southeast Asia",NA,1997,4.7063964113,"Regional","70 or older",1723.8834874,21254.48250398,0.381720846747477
"Southeast Asia",NA,1997,4.7063964113,"Regional","5-14",2047.27630535,21254.48250398,0.45332996720266
"Southeast Asia",NA,1997,4.7063964113,"Regional","15-49",9951.70673365,21254.48250398,2.20361407758528
"Southeast Asia",NA,1997,4.7063964113,"Regional","50-69",2927.29639041,21254.48250398,0.648193491610876
"Southeast Asia",NA,1998,4.41818770711,"Regional","Under 5",3063.64190805,19909.21213087,0.679873464010454
"Southeast Asia",NA,1998,4.41818770711,"Regional","70 or older",1772.79396602,19909.21213087,0.393412680342267
"Southeast Asia",NA,1998,4.41818770711,"Regional","5-14",1997.96868381,19909.21213087,0.443382722529379
"Southeast Asia",NA,1998,4.41818770711,"Regional","15-49",10131.4892421,19909.21213087,2.24834719374741
"Southeast Asia",NA,1998,4.41818770711,"Regional","50-69",2943.31833089,19909.21213087,0.653171646480491
"Southeast Asia",NA,1999,4.24358359789,"Regional","Under 5",3348.73096374,19831.55547322,0.716566071212269
"Southeast Asia",NA,1999,4.24358359789,"Regional","70 or older",1653.20057591,19831.55547322,0.35375413983172
"Southeast Asia",NA,1999,4.24358359789,"Regional","5-14",1940.2715805,19831.55547322,0.415181989409781
"Southeast Asia",NA,1999,4.24358359789,"Regional","15-49",10043.9444723,19831.55547322,2.1492170938546
"Southeast Asia",NA,1999,4.24358359789,"Regional","50-69",2845.40788077,19831.55547322,0.608864303581628
"Southeast Asia",NA,2000,4.00558336694,"Regional","Under 5",2894.40830402,19111.63572857,0.606635346360435
"Southeast Asia",NA,2000,4.00558336694,"Regional","70 or older",1586.1090546,19111.63572857,0.332430574624293
"Southeast Asia",NA,2000,4.00558336694,"Regional","5-14",1873.10906982,19111.63572857,0.392582541918134
"Southeast Asia",NA,2000,4.00558336694,"Regional","15-49",9969.87455963,19111.63572857,2.08957329836677
"Southeast Asia",NA,2000,4.00558336694,"Regional","50-69",2788.1347405,19111.63572857,0.58436160567037
"Southeast Asia",NA,2001,3.8747492752,"Regional","Under 5",2813.99936074,18845.96571766,0.578561064303709
"Southeast Asia",NA,2001,3.8747492752,"Regional","70 or older",1558.19451693,18845.96571766,0.320366340762122
"Southeast Asia",NA,2001,3.8747492752,"Regional","5-14",1804.90838609,18845.96571766,0.371090957374032
"Southeast Asia",NA,2001,3.8747492752,"Regional","15-49",9906.6407155,18845.96571766,2.03681517345011
"Southeast Asia",NA,2001,3.8747492752,"Regional","50-69",2762.2227384,18845.96571766,0.56791573931003
"Southeast Asia",NA,2002,3.76987307568,"Regional","Under 5",2740.36678234,18647.56494833,0.554004502939489
"Southeast Asia",NA,2002,3.76987307568,"Regional","70 or older",1545.81175679,18647.56494833,0.312508048001952
"Southeast Asia",NA,2002,3.76987307568,"Regional","5-14",1747.07403417,18647.56494833,0.353196107957622
"Southeast Asia",NA,2002,3.76987307568,"Regional","15-49",9852.67636751,18647.56494833,1.99186003449694
"Southeast Asia",NA,2002,3.76987307568,"Regional","50-69",2761.63600752,18647.56494833,0.558304382283995
"Southeast Asia",NA,2003,3.6964167143,"Regional","Under 5",2707.85395828,18586.12973313,0.538539049010715
"Southeast Asia",NA,2003,3.6964167143,"Regional","70 or older",1551.86974735,18586.12973313,0.308636459278337
"Southeast Asia",NA,2003,3.6964167143,"Regional","5-14",1703.76081967,18586.12973313,0.338844614851242
"Southeast Asia",NA,2003,3.6964167143,"Regional","15-49",9830.94328342,18586.12973313,1.9551818260148
"Southeast Asia",NA,2003,3.6964167143,"Regional","50-69",2791.70192441,18586.12973313,0.55521476514491
